	shannon	simpson	chao1	PD_whole_tree
SRR040893	6.54946717807	0.9801515	811.243902439	18.35545
SRR040894	7.82329426739	0.9874325	982.692307692	20.75527
SRR040895	6.67747521025	0.9771185	580.641791045	15.63909
SRR040896	6.03655614085	0.974466	492.545454545	11.50877
SRR040897	7.31115224648	0.9720785	709.887640449	19.31714
SRR040898	7.92682617312	0.9896455	712.589285714	19.79963
SRR040899	6.19580050743	0.9712615	458.903225806	10.56812
SRR040900	6.32044836676	0.9563665	442.238095238	11.14583
SRR040901	8.46205888049	0.995354	890.439252336	22.51037
SRR040902	7.82547152044	0.989515	832.20212766	21.8765
SRR040903	8.53378176067	0.993674	1006.32142857	24.61068
SRR040905	8.25991246962	0.99046	978.092592593	23.22612
SRR040906	7.9772750507	0.991499	922.591397849	22.96255
SRR040907	8.5491388083	0.996054	872.206185567	21.64143
SRR040908	8.1045685106	0.99167	870.928571429	21.43252
SRR040909	7.67721381448	0.9890305	865.076923077	18.87861
SRR040910	8.1390709051	0.9931435	865.78	19.11783
SRR040911	8.1239427514	0.9899725	834.777777778	18.26336
SRR040912	7.56089988374	0.9865875	641.505617978	16.33109
SRR040913	7.38121999704	0.9719655	748.740740741	20.56686
SRR040914	6.9427105133	0.970794	546.507042254	13.39174
SRR040915	5.72840685062	0.9723915	219.090909091	6.51184
SRR040916	5.87004986428	0.973904	282.555555556	9.83724
SRR040917	7.86898907422	0.9888925	811.366336634	21.78896
SRR040918	8.36089122769	0.9950215	805.84375	20.23079
SRR040920	7.78323448107	0.9900175	725.744186047	18.06552
SRR040921	7.69160395205	0.989699	623.107526882	16.38079
SRR040922	7.14659758211	0.9823175	990.086956522	23.14068
SRR040923	6.25493715454	0.962792	567.294117647	14.02326
SRR040924	8.1590454438	0.993471	756.181034483	21.0076
SRR040925	6.80312907636	0.9791265	593.75862069	14.75376
SRR040926	7.55072897739	0.989433	636.873239437	16.05535
SRR040927	8.42169775223	0.993787	1049.40909091	25.1942
SRR040928	7.69867603475	0.9893755	773.915662651	19.05678
SRR040929	7.49579554737	0.9899405	698.52173913	19.54085
SRR040930	7.86915671261	0.99	776.28	16.9419
SRR040931	8.10010255827	0.991668	780.252252252	20.00576
SRR040932	8.37305402125	0.994166	987.4	22.4185
SRR040933	7.27245620782	0.987609	551.25	18.33987
SRR040934	8.52005689737	0.9911785	1154.66666667	26.95492
SRR040935	8.39743907609	0.994332	865.888888889	21.41207
SRR040936	6.72495632832	0.964026	507.666666667	12.27894
SRR040937	7.47952207256	0.970362	659.445783133	14.58988
SRR040938	6.19737743447	0.961506	447.732142857	11.02289
SRR040939	7.56500700679	0.9893875	675.878787879	16.14847
SRR040940	7.40724576099	0.981735	744.674418605	21.84075
SRR040941	5.70074571777	0.9723945	159.0	6.25666
SRR040942	8.00508516866	0.98577	779.375	18.48703
SRR040943	7.59540726943	0.9895325	739.4	16.72958
SRR040944	7.29837594277	0.987785	575.775862069	14.75966
SRR040945	8.01822361851	0.9903815	828.461538462	21.49422
SRR040946	7.96785856854	0.98668	877.321428571	19.99159
SRR040947	2.53814388147	0.7618655	52.0	1.9672
SRR040948	7.92462363523	0.993114	824.635135135	16.55698
SRR040949	8.08565740916	0.982318	970.4375	20.1923
